devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas,goodput_retrans_ratio
0.0,0.0,113.0,114.0,113.0,7.0,131.0,17.0,39.70992366412214,0.2351774855824683,11.4232,9.8536,0.1297709923664122,2.0,10.0,40.0,23.0,0.5474222222222223
0.0,0.0,114.0,113.0,114.0,7.0,130.0,17.0,37.707692307692305,0.24549261525907795,11.336,9.9408,0.13076923076923078,2.0,10.0,40.0,23.0,0.5522666666666667
0.0,0.0,112.0,112.0,112.0,7.0,119.0,7.0,38.21848739495798,0.240068109058927,10.3768,9.7664,0.058823529411764705,2.0,10.0,40.0,23.0,1.2208
0.0,0.0,113.0,114.0,113.0,10.0,127.0,13.0,39.44881889763779,0.23673408383233535,11.0744,9.8536,0.10236220472440945,2.0,10.0,40.0,23.0,0.7038285714285715
0.0,0.0,112.0,111.0,112.0,6.0,120.0,9.0,39.125,0.23241201277955267,10.464,9.7664,0.075,2.0,10.0,40.0,23.0,0.9766400000000001
0.0,0.0,112.0,113.0,112.0,9.0,124.0,11.0,41.056451612903224,0.22546907090944804,10.8128,9.7664,0.08870967741935484,2.0,10.0,40.0,23.0,0.8138666666666667
0.0,0.0,112.0,111.0,112.0,6.0,117.0,6.0,42.05128205128205,0.2162388292682927,10.2024,9.7664,0.05128205128205128,2.0,10.0,40.0,23.0,1.3952000000000002
0.0,0.0,111.0,111.0,111.0,13.0,126.0,15.0,43.523809523809526,0.20892288840262582,10.9872,9.6792,0.11904761904761904,3.0,9.0,40.0,23.0,0.60495
0.0,0.0,112.0,113.0,112.0,14.0,127.0,14.0,43.7007874015748,0.21182593153153156,11.0744,9.7664,0.11023622047244094,2.0,10.0,40.0,23.0,0.6510933333333334
0.0,0.0,113.0,112.0,113.0,9.0,125.0,13.0,43.056,0.21309550353028617,10.9,9.8536,0.104,2.0,10.0,40.0,23.0,0.7038285714285715
0.0,0.0,113.0,114.0,113.0,9.0,132.0,18.0,42.27272727272727,0.22091974193548386,11.5104,9.8536,0.13636363636363635,2.0,10.0,40.0,23.0,0.5186105263157895
0.0,0.0,113.0,112.0,113.0,7.0,119.0,7.0,42.0,0.21845333333333333,10.3768,9.8536,0.058823529411764705,2.0,10.0,40.0,23.0,1.2317
0.0,0.0,112.0,113.0,112.0,9.0,127.0,14.0,42.61417322834646,0.2172272579453067,11.0744,9.7664,0.11023622047244094,2.0,10.0,40.0,23.0,0.6510933333333334
0.0,0.0,112.0,112.0,112.0,12.0,127.0,15.0,43.79527559055118,0.209498396260338,11.0744,9.7664,0.11811023622047244,2.0,10.0,40.0,23.0,0.6104
0.0,0.0,112.0,113.0,112.0,6.0,118.0,6.0,43.983050847457626,0.21046652793834297,10.2896,9.7664,0.05084745762711865,4.0,8.0,40.0,23.0,1.3952000000000002
0.0,0.0,111.0,110.0,111.0,19.0,130.0,19.0,45.323076923076925,0.19882145281737945,11.336,9.6792,0.14615384615384616,3.0,9.0,40.0,23.0,0.48396
0.0,0.0,112.0,112.0,112.0,13.0,128.0,16.0,45.1875,0.20304376210235128,11.1616,9.7664,0.125,2.0,10.0,40.0,23.0,0.5744941176470588
0.0,0.0,114.0,113.0,114.0,14.0,129.0,16.0,45.06976744186046,0.20539178534571728,11.2488,9.9408,0.12403100775193798,4.0,8.0,40.0,23.0,0.5847529411764706
0.0,0.0,112.0,113.0,112.0,6.0,121.0,8.0,45.768595041322314,0.20225571686529434,10.5512,9.7664,0.06611570247933884,2.0,10.0,40.0,23.0,1.0851555555555557
0.0,0.0,113.0,112.0,113.0,15.0,127.0,15.0,46.346456692913385,0.19796637444784235,11.0744,9.8536,0.11811023622047244,3.0,9.0,40.0,23.0,0.61585
0.0,0.0,114.0,114.0,114.0,16.0,131.0,17.0,45.98473282442748,0.20308653386454179,11.4232,9.9408,0.1297709923664122,3.0,9.0,40.0,23.0,0.5522666666666667
0.0,0.0,111.0,111.0,111.0,17.0,134.0,23.0,46.25373134328358,0.19659213939980635,11.6848,9.6792,0.17164179104477612,3.0,9.0,40.0,23.0,0.4033
0.0,0.0,113.0,113.0,113.0,12.0,127.0,14.0,45.59055118110236,0.20304558203799652,11.0744,9.8536,0.11023622047244094,2.0,10.0,40.0,23.0,0.6569066666666666
0.0,0.0,111.0,111.0,111.0,8.0,119.0,8.0,45.075630252100844,0.2017302908277405,10.3768,9.6792,0.06722689075630252,3.0,9.0,40.0,23.0,1.0754666666666666
0.0,0.0,111.0,111.0,111.0,8.0,119.0,8.0,45.32773109243698,0.20060832035595103,10.3768,9.6792,0.06722689075630252,2.0,10.0,40.0,23.0,1.0754666666666666
0.0,0.0,113.0,113.0,113.0,9.0,122.0,9.0,45.540983606557376,0.2032665802735781,10.6384,9.8536,0.07377049180327869,2.0,10.0,40.0,23.0,0.98536
0.0,0.0,112.0,112.0,112.0,9.0,121.0,9.0,45.86776859504132,0.2000324036036036,10.5512,9.7664,0.0743801652892562,2.0,10.0,40.0,23.0,0.9766400000000001
0.0,0.0,114.0,114.0,114.0,9.0,123.0,9.0,45.75609756097561,0.20410132196162045,10.7256,9.9408,0.07317073170731707,2.0,10.0,40.0,23.0,0.99408
0.0,0.0,112.0,112.0,112.0,15.0,127.0,15.0,45.968503937007874,0.19959405275779374,11.0744,9.7664,0.11811023622047244,3.0,9.0,40.0,23.0,0.6104
0.0,0.0,113.0,113.0,113.0,12.0,127.0,14.0,46.110236220472444,0.2007571584699453,11.0744,9.8536,0.11023622047244094,4.0,8.0,40.0,23.0,0.6569066666666666
0.0,0.0,112.0,112.0,112.0,13.0,127.0,15.0,46.39370078740158,0.19776477936184653,11.0744,9.7664,0.11811023622047244,3.0,9.0,40.0,23.0,0.6104
0.0,0.0,112.0,113.0,112.0,12.0,124.0,12.0,46.45161290322581,0.19928177777777778,10.8128,9.7664,0.0967741935483871,4.0,8.0,40.0,23.0,0.7512615384615385
