devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas,goodput_retransmissions
0.0,0.0,52.0,53.0,53.0,8.0,118.0,62.0,8.542372881355933,0.5082615873015873,10.2896,4.6216,0.5254237288135594,2.0,10.0,70.0,13.0,0.07335873015873015
0.0,0.0,36.0,55.0,37.0,8.0,158.0,109.0,8.487341772151899,0.5308611483967188,13.7776,3.2264,0.689873417721519,4.0,8.0,70.0,13.0,0.02933090909090909
0.0,0.0,30.0,53.0,32.0,10.0,172.0,125.0,8.145348837209303,0.5330354889364738,14.9984,2.7904,0.7267441860465116,3.0,9.0,70.0,13.0,0.022146031746031747
0.0,0.0,46.0,53.0,49.0,4.0,140.0,87.0,8.185714285714285,0.5304069808027922,11.63456,4.2728,0.6214285714285714,6.0,6.0,70.0,13.0,0.048554545454545454
0.0,0.0,40.0,54.0,43.0,10.0,155.0,105.0,8.845161290322581,0.5001242888402625,13.516,3.7496,0.6774193548387096,5.0,7.0,70.0,13.0,0.03537358490566038
0.0,0.0,39.0,56.0,40.0,13.0,138.0,87.0,8.608695652173912,0.5328937373737375,11.95168,3.40608,0.6304347826086957,4.0,8.0,70.0,13.0,0.03870545454545455
0.0,0.0,43.0,54.0,43.0,5.0,150.0,94.0,8.6,0.5143813953488372,13.08,3.7496,0.6266666666666667,4.0,8.0,70.0,13.0,0.039469473684210526
0.0,0.0,27.0,53.0,29.0,8.0,181.0,139.0,8.25414364640884,0.5260097456492637,15.7832,2.5288,0.7679558011049724,2.0,10.0,70.0,13.0,0.01806285714285714
0.0,0.0,45.0,54.0,45.0,9.0,129.0,79.0,8.976744186046512,0.4927933678756477,11.2488,3.924,0.6124031007751938,4.0,8.0,70.0,13.0,0.049049999999999996
0.0,0.0,43.0,54.0,46.0,8.0,151.0,98.0,8.503311258278146,0.5202302803738317,13.1672,4.0112,0.6490066225165563,6.0,6.0,70.0,13.0,0.040517171717171716
0.0,0.0,61.0,54.0,61.0,2.0,92.0,30.0,9.684782608695652,0.4567660606060606,8.0224,5.3192,0.32608695652173914,2.0,10.0,70.0,13.0,0.17158709677419356
0.0,0.0,41.0,52.0,41.0,7.0,154.0,103.0,8.2987012987013,0.5133140532081376,13.4288,3.5752,0.6688311688311688,2.0,10.0,70.0,13.0,0.034376923076923076
0.0,0.0,34.0,54.0,36.0,6.0,161.0,116.0,7.583850931677019,0.5833026044226044,14.0392,3.1392,0.7204968944099379,5.0,7.0,70.0,13.0,0.02683076923076923
0.0,0.0,37.0,54.0,38.0,4.0,155.0,105.0,7.95483870967742,0.5560992700729926,13.516,3.3136,0.6774193548387096,3.0,9.0,70.0,13.0,0.03126037735849057
0.0,0.0,49.0,54.0,49.0,6.0,119.0,65.0,9.025210084033613,0.4901470391061452,10.3768,4.2728,0.5462184873949579,6.0,6.0,70.0,13.0,0.06473939393939394
0.0,0.0,44.0,53.0,44.0,6.0,164.0,107.0,8.121951219512194,0.5345710510510511,14.3008,3.8368,0.6524390243902439,4.0,8.0,70.0,13.0,0.035525925925925926
